table_name,column_name,lngdsc,comtyp,length,null_flg,pk_flg,ident_flg,column_comment
dlytrn,fr_age_pflnam,From Aging Profile,S,30,True,False,False,The original aging profile of the inventory affected by this transaction.
dlytrn,to_arecod,To Area,S,10,True,False,False,The destination area code of the transaction.
dlytrn,tostol,To Location,S,20,True,False,False,The destination location of the transaction.
dlytrn,toinvs,To Inv Status,S,4,True,False,False,The final inventory status of the inventory affected by this transaction.
dlytrn,to_age_pflnam,To Aging Profile,S,30,True,False,False,The final aging profile of the inventory affected by this transaction.
dlytrn,trlr_num,Transport Equipment Number,S,20,True,False,False,The trailer number of the trailer.
dlytrn,trct_num,,S,20,True,False,False,The tractor number of the trailer.
dlytrn,carcod,Carrier,S,10,True,False,False,The carrier code of the trailer.
dlytrn,ship_id,Shipment ID,S,30,True,False,False,The shipment ID the order was on.
dlytrn,client_id,Client ID,S,32,True,False,False,The client which owns the order.
dlytrn,ordnum,Outbound Order Number,S,35,True,False,False,The order number the activity record is for.
dlytrn,trndtl_id,Transaction Detail ID,S,10,True,False,False,A link to antoher transaction Id for another table to show detailed information about the transaction.
dlytrn,trndtl_table,Transaction Detail Table,S,30,True,False,False,The table containing the detail information about the transaction.
dlytrn,adj_ref1,Adjustment Reference One,S,20,True,False,False,Reference number for sending information to the host.
dlytrn,adj_ref2,Adjustment Reference Two,S,20,True,False,False,Reference number for sending information to the host.
dlytrn,usr_id,User ID,S,40,True,False,False,The user the did the action that the activity is being captured for.
dlytrn,devcod,Device Code,S,20,True,False,False,The device code that should be used when printing labels for this pick.
dlytrn,arcdte,Archive Date,D,14,True,False,False,The archive date if this transaction was archived.
dlytrn,arc_src,Archive Source,S,30,True,False,False,"The archival source of this table, if this table is created as an archiving table."
dlytrn,cmnt,Comments,S,2000,True,False,False,Comment - Comment used for supervisor approval of adjustments.
dlytrn,asset_typ,Handling Unit Type,S,30,True,False,False,Asset Type : Asset type of the asset
dlytrn,asset_id,Handling Unit ID,S,30,True,False,False,Asset ID : Unique identifier for the asset.
dlytrn,asset_stat,Handling Unit Status,S,15,True,False,False,Asset Status : Status of the asset.
dlytrn,load_attr1_flg,Wrapped,I,4,False,False,False,The first load attribute. A load attribute is a configurable flag field to indicate attributes of a load such as the load being wrapped.
dlytrn,load_attr2_flg,Load Attribute 2,I,4,False,False,False,The second load attribute. A load attribute is a configurable flag field to indicate attributes of a load such as the load being wrapped.
dlytrn,load_attr3_flg,Load Attribute 3,I,4,False,False,False,The third load attribute. A load attribute is a configurable flag field to indicate attributes of a load such as the load being wrapped.
dlytrn,load_attr4_flg,Load Attribute 4,I,4,False,False,False,The fourth load attribute. A load attribute is a configurable flag field to indicate attributes of a load such as the load being wrapped.
