description_code,function_name,l1_category_name,payload_format,has_geo,is_system_event,event_type,log_level,platforms
06010200,Sales Review: Order Detail - Fail,Send Sales Review,bare_value,false,true,System Event,WARN,"PDA,CatalogFS"
06020100,Sales Review: Order List - Success,Send Sales Review,positional_order,false,true,System Event,INFO,"PDA,CatalogFS"
06020200,Sales Review: Order List - Fail,Send Sales Review,bare_value,false,true,System Event,WARN,"PDA,CatalogFS"
06030100,Sales Review: Auto Upload - Success,Send Sales Review,positional_order,false,true,System Event,INFO,"PDA,CatalogFS"
06030200,Sales Review: Auto Upload - Fail,Send Sales Review,bare_value,false,true,System Event,WARN,"PDA,CatalogFS"
07010100,Restore: Order Detail - Success,Restore Order,bare_value,false,true,System Event,INFO,"PDA,CatalogFS"
07010200,Restore: Order Detail - Fail,Restore Order,bare_value,false,true,System Event,WARN,"PDA,CatalogFS"
07020100,Restore: Recycle Bin - Success,Restore Order,bare_value,false,true,System Event,INFO,"PDA,CatalogFS"
07020200,Restore: Recycle Bin - Fail,Restore Order,bare_value,false,true,System Event,WARN,"PDA,CatalogFS"
08010000,Delete: Order Detail,Delete Order,bare_value,false,false,,INFO,"PDA,CatalogFS"
08020000,Delete: Sales Order List,Delete Order,bare_value,false,false,,INFO,"PDA,CatalogFS"
08030000,Auto Delete Order,Delete Order,bare_value,false,false,,INFO,"PDA,CatalogFS"
09010000,Create Order,Create Order,bare_value,true,false,,INFO,"PDA,CatalogFS"
09020000,Copy to New Order: Sales List,Create Order,none,true,false,,INFO,"PDA"
09030000,Copy to New Order: Office List,Create Order,none,true,false,,INFO,"PDA"
09040000,Copy to New Order: Recycle Bin,Create Order,none,true,false,,INFO,"PDA"
09050000,(BLE Only) Create New Order,Create Order,none,true,false,,INFO,"PDA"
09060000,(BLE Only) Use Existing Order on Catalog,Create Order,none,true,false,,INFO,"PDA"
09070000,(BLE Only) Merge Orders,Create Order,none,true,false,,INFO,"PDA"
09080000,Item Long Press +: Create New Order,Create Order,none,true,false,,INFO,"CatalogFS"
10010100,Change Shipping Address,Order Operations,positional,false,false,,INFO,"PDA"
10010300,Change Address: Order Detail,Order Operations,none,false,false,,INFO,"CatalogFS"
10010400,Change Address: Place Your Order,Order Operations,none,false,false,,INFO,"Vegas"
10020100,Change Freight,Order Operations,none,false,false,,INFO,"PDA"
10040100,Delete Item: Order Detail,Order Operations,sku,false,false,EVENT,EVENT,"CatalogFS"
10040700,remove_item_suggest_page,Order Operations,sku,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
10040800,remove_item_promo_page,Order Operations,sku,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
10040900,remove_item_new_page,Order Operations,sku,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
10041000,remove_item_backorder_page,Order Operations,sku,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
10041100,remove_item_category_page,Order Operations,positional,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
10041300,remove_item_history_page,Order Operations,sku,false,false,EVENT,EVENT,"PDA,CatalogFS,Vegas,CatalogFC,Web"
10041400,remove_item_cart_page,Order Operations,sku,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
10050100,add_item_list_page,Order Operations,positional,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
10050200,add_item_suggest_page,Order Operations,positional,false,false,EVENT,EVENT,"PDA,CatalogFS,Vegas,CatalogFC,Web"
10050300,add_item_promo_page,Order Operations,positional,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
10050400,add_item_backorder_page,Order Operations,positional,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
10050500,add_item_new_page,Order Operations,positional,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
10050600,add_item_history_page,Order Operations,positional,false,false,EVENT,EVENT,"PDA,CatalogFS,Vegas,CatalogFC,Web"
10050700,add_item_detail_page,Order Operations,positional,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
10050800,add_item_quick_page,Order Operations,positional,false,false,EVENT,EVENT,"CatalogFS,Vegas,Web"
10051400,add_item_category_page,Order Operations,positional,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
10150100,change_qty_item_list_page,Order Operations,positional,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
10150200,change_qty_item_suggest_page,Order Operations,positional,false,false,EVENT,EVENT,"PDA,CatalogFS,Vegas,CatalogFC,Web"
10150300,change_qty_item_promo_page,Order Operations,positional,false,false,EVENT,EVENT,"PDA,CatalogFS,Vegas,CatalogFC,Web"
10150500,change_qty_item_new_page,Order Operations,positional,false,false,EVENT,EVENT,"PDA,CatalogFS,Vegas,CatalogFC,Web"
10150700,change_qty_item_detail_page,Order Operations,positional,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
10160100,change_price_for_sales,Order Operations,positional,false,false,EVENT,EVENT,"PDA,CatalogFS"
11010100,Filter By Category: New & Promo,Filtering & Sorting,bare_value,false,false,,INFO,"PDA"
11010200,Filter By Category: Recommend,Filtering & Sorting,bare_value,false,false,,INFO,"PDA,CatalogFS,Vegas,CatalogFC"
